,id,energy_above_hull
891,mp-1018070,
892,mp-1018071,
893,mp-1018072,
894,mp-1018075,
895,mp-1018073,
896,mp-1018074,
897,mp-1018076,
898,mp-1018079,
899,mp-1018080,
900,mp-1018083,
901,mp-1018082,
902,mp-1018081,
903,mp-1018084,
904,mp-1018085,
905,mp-1018086,
906,mp-1018087,
907,mp-1018088,
908,mp-1018077,
909,mp-1018089,
910,mp-1018090,
911,mp-1018091,
912,mp-1018094,
913,mp-1018093,
914,mp-1018096,
915,mp-1018097,
916,mp-1018098,
917,mp-1018099,
918,mp-10181,
919,mp-1018101,
920,mp-1018100,
921,mp-1018095,
922,mp-1018104,
923,mp-1018102,
924,mp-1018103,
925,mp-1018105,
926,mp-1018107,
927,mp-1018106,
928,mp-1018113,
929,mp-1018116,
930,mp-1018115,
931,mp-1018112,
932,mp-1018118,
933,mp-1018120,
934,mp-1018119,
935,mp-1018121,
936,mp-1018122,
937,mp-1018124,
938,mp-1018125,
939,mp-1018127,
940,mp-1018128,
941,mp-1018132,
942,mp-1018126,
943,mp-1018117,
944,mp-1018129,
945,mp-1018131,
946,mp-1018135,
947,mp-1018133,
948,mp-1018134,
949,mp-1018123,
950,mp-1018136,
951,mp-1018137,
952,mp-1018138,
953,mp-1018141,
954,mp-1018140,
955,mp-1018148,
956,mp-1018147,
957,mp-1018144,
958,mp-1018146,
959,mp-1018150,
960,mp-1018151,
961,mp-1018149,
962,mp-1018153,
963,mp-1018154,
964,mp-1018152,
965,mp-1018157,
966,mp-1018159,
967,mp-1018160,
968,mp-1018161,
969,mp-1018164,
970,mp-1018166,
971,mp-1018162,
972,mp-1018142,
973,mp-1018165,
974,mp-1018176,
975,mp-1018177,
976,mp-1018179,
977,mp-1018275,
978,mp-1018178,
979,mp-1018276,
980,mp-10182,
981,mp-1018145,
982,mp-10184,
983,mp-10183,
984,mp-1018629,
985,mp-10185,
986,mp-1018627,
987,mp-1018630,
988,mp-1018631,
989,mp-1018628,
990,mp-1018632,
991,mp-1018635,
992,mp-1018634,
993,mp-1018156,
994,mp-1018155,
995,mp-1018158,
996,mp-1018637,
997,mp-1018638,
998,mp-1018639,
999,mp-1018633,
1000,mp-1018640,
1001,mp-1018641,
1002,mp-1018643,
1003,mp-1018644,
1004,mp-1018642,
1005,mp-1018645,
1006,mp-1018646,
1007,mp-1018647,
1008,mp-1018139,
1009,mp-1018636,
1010,mp-1018648,
1011,mp-1018652,
1012,mp-1018651,
1013,mp-1018654,
1014,mp-1018650,
1015,mp-1018653,
1016,mp-1018649,
1017,mp-1018657,
1018,mp-1018656,
1019,mp-1018655,
1020,mp-1018660,
1021,mp-1018659,
1022,mp-1018658,
1023,mp-1018664,
1024,mp-1018663,
1025,mp-1018666,
1026,mp-1018665,
1027,mp-1018669,
1028,mp-1018667,
1029,mp-1018668,
1030,mp-1018661,
1031,mp-1018674,
1032,mp-1018673,
1033,mp-1018675,
1034,mp-1018677,
1035,mp-1018672,
1036,mp-1018678,
1037,mp-1018671,
1038,mp-1018679,
1039,mp-1018680,
1040,mp-1018681,
1041,mp-1018662,
1042,mp-1018684,
1043,mp-1018683,
1044,mp-1018676,
1045,mp-1018685,
1046,mp-1018688,
1047,mp-1018687,
1048,mp-1018686,
1049,mp-1018682,
1050,mp-1018690,
1051,mp-1018689,
1052,mp-1018693,
1053,mp-1018695,
1054,mp-1018694,
1055,mp-1018696,
1056,mp-1018697,
1057,mp-1018698,
1058,mp-10187,
1059,mp-1018699,
1060,mp-1018700,
1061,mp-1018691,
1062,mp-1018692,
1063,mp-1018701,
1064,mp-1018703,
1065,mp-1018705,
1066,mp-1018707,
1067,mp-1018706,
1068,mp-1018704,
1069,mp-1018708,
1070,mp-1018710,
1071,mp-1018709,
1072,mp-1018712,
1073,mp-1018702,
1074,mp-1018711,
1075,mp-1018713,
1076,mp-1018716,
1077,mp-1018715,
1078,mp-1018714,
1079,mp-1018717,
1080,mp-1018718,
1081,mp-1018719,
1082,mp-1018720,
1083,mp-1018723,
1084,mp-1018722,
1085,mp-1018721,
1086,mp-1018724,
1087,mp-1018726,
