id,energy_above_hull,crystal_system,point_group
mp-1185194,0.003408095,Cubic,m-3m
mp-1185193,0,Cubic,m-3m
mp-11852,0,Cubic,m-3m
mp-1185198,0,Cubic,m-3m
mp-1185195,0.0024282,Hexagonal,6/mmm
mp-1185197,0.212806411,Cubic,m-3m
mp-1185202,0.068886192,Cubic,m-3m
mp-1185207,0,Orthorhombic,mmm
mp-1185205,0.010498394,Hexagonal,6/mmm
mp-1185204,0.093283325,Tetragonal,4/mmm
mp-1185200,0.007945075,Tetragonal,4/mmm
mp-1185209,0.000378414,Cubic,m-3m
mp-1185203,0.538053035,Cubic,m-3m
mp-1185208,0.21219817,Hexagonal,6/mmm
mp-1185206,0.199966098,Hexagonal,6/mmm
mp-1185211,0.038360566,Cubic,m-3m
mp-1185212,0.005753191,Hexagonal,6/mmm
mp-1185214,0.093812278,Hexagonal,6/mmm
mp-1185216,0.68214206,Tetragonal,4/mmm
mp-1185215,0.405659318,Hexagonal,6/mmm
mp-1185219,0.037775069,Cubic,m-3m
mp-1185218,0.187568723,Hexagonal,6/mmm
mp-1185221,0.231350261,Tetragonal,4/mmm
mp-1185222,0.118461686,Cubic,m-3m
mp-1185192,0.201262779,Cubic,m-3m
mp-1185224,0.052616313,Tetragonal,4/mmm
mp-1185223,0.035972346,Hexagonal,6/mmm
mp-1185234,0.136148024,Cubic,m-3m
mp-1185226,0.074575578,Cubic,m-3m
mp-1185233,0,Hexagonal,6/mmm
mp-1185231,0.333634136,Cubic,m-3m
mp-1185236,0.488917546,Cubic,m-3m
mp-1185229,0.107945084,Cubic,m-3m
mp-1185227,0.098576736,Cubic,m-3m
mp-1185217,0.037762332,Cubic,m-3m
mp-1185237,0.494700399,Cubic,m-3m
mp-1185235,0.035903318,Cubic,m-3m
mp-1185230,0,Cubic,m-3m
mp-1185238,0,Cubic,m-3m
mp-1185240,0.197740007,Cubic,m-3m
mp-1185239,0.015796603,Cubic,m-3m
mp-1185241,0.008137971,Cubic,m-3m
mp-1185244,0.011114606,Cubic,m-3m
mp-1185243,0.033423077,Tetragonal,4/mmm
mp-1185245,0.192883224,Cubic,m-3m
mp-1185242,0.031783547,Cubic,m-3m
mp-1185246,0.015439802,Cubic,m-3m
mp-1185247,0.036621074,Cubic,m-3m
mp-1185251,0.018282474,Cubic,m-3m
mp-1185260,0.002525675,Hexagonal,6/mmm
mp-1185254,0.009484221,Cubic,m-3m
mp-1185253,0.039791228,Cubic,m-3m
mp-1185248,0.035732896,Tetragonal,4/mmm
mp-1185261,0.505794732,Cubic,m-3m
mp-1185255,0.034422842,Cubic,m-3m
mp-1185266,0.021703934,Cubic,m-3m
mp-1185269,0.162573436,Cubic,m-3m
mp-1185262,0.02527951,Hexagonal,6/mmm
mp-1185259,0.191581167,Cubic,m-3m
mp-1185257,0.193428984,Tetragonal,4/mmm
mp-1185280,0.06873616,Tetragonal,4/mmm
mp-1185282,0.210791331,Hexagonal,6/mmm
mp-1185272,0.202590814,Hexagonal,6/mmm
mp-1185268,0.222104563,Hexagonal,6/mmm
mp-1185265,0,Tetragonal,4/mmm
mp-1185275,0.020380532,Cubic,m-3m
mp-1185264,0.064489517,Hexagonal,6/mmm
mp-1185283,0.2134582,Hexagonal,6/mmm
mp-1185286,0.087554413,Hexagonal,6/mmm
mp-1185290,0.975247265,Tetragonal,4/mmm
mp-1185291,0.011513428,Hexagonal,6/mmm
mp-1185298,0.631775959,Hexagonal,6/mmm
mp-1185289,0.183025115,Tetragonal,4/mmm
mp-1185302,0.955796148,Hexagonal,6/mmm
mp-1185301,0.006665877,Cubic,m-3m
mp-1185305,0.003088069,Hexagonal,6mm
mp-1185304,0.008276886,Cubic,m-3m
mp-1185308,0.412528428,Cubic,m-3m
mp-1185310,0.460419717,Cubic,m-3m
mp-1185296,0.066584974,Cubic,m-3m
mp-1185300,0.00555458,Cubic,m-3m
mp-1185288,0.983268224,Cubic,m-3m
mp-1185295,0.443144002,Hexagonal,6/mmm
mp-1185303,0.353162429,Cubic,m-3m
mp-1185307,0.008947452,Cubic,m-3m
mp-1185311,0.409366555,Cubic,m-3m
mp-1185312,0.001797597,Cubic,m-3m
mp-1185314,0.007100988,Cubic,m-3m
mp-1185313,0.366027849,Cubic,m-3m
mp-1185306,0.002918739,Cubic,m-3m
mp-1185309,0.006666019,Cubic,m-3m
mp-1185319,0,Cubic,m-3m
mp-1185317,0,Cubic,m-3m
mp-1185318,0.013158403,Cubic,m-3m
mp-1185322,0.015558409,Cubic,m-3m
mp-1185320,0.314812976,Cubic,m-3m
mp-1185323,0.019318071,Cubic,m-3m
mp-1185325,0.020852342,Cubic,m-3m
mp-1185324,0.012275787,Hexagonal,6mm
mp-1185321,0.0174847,Cubic,m-3m
mp-1185327,0.020664611,Cubic,m-3m
mp-1185316,0.004535756,Hexagonal,6/mmm
mp-1185326,0.044908122,Cubic,m-3m
mp-1185335,0,Cubic,m-3m
mp-1185330,0.065075152,Cubic,m-3m
mp-1185332,0.022782648,Cubic,m-3m
mp-1185334,0,Cubic,m-3m
mp-1185336,0.145974561,Tetragonal,4/mmm
mp-1185328,0.011842002,Cubic,m-3m
mp-1185331,0.017119758,Cubic,m-3m
mp-1185333,0.016059409,Tetragonal,4/mmm
mp-1185338,0.006571215,Tetragonal,4/mmm
mp-1185337,0.010433302,Hexagonal,6/mmm
mp-1185339,0,Cubic,m-3m
mp-1185340,0.189761627,Hexagonal,6/mmm
mp-1185343,0.264831668,Hexagonal,6/mmm
mp-1185342,0.007559114,Cubic,m-3m
mp-1185341,0.022103359,Cubic,m-3m
mp-1185344,0.264443397,Hexagonal,6/mmm
mp-1185347,0.022431282,Cubic,m-3m
mp-1185348,0.14988034,Cubic,m-3m
mp-1185345,0.184691144,Hexagonal,6/mmm
mp-1185346,0.038064674,Hexagonal,6/mmm
mp-1185349,0.026830593,Cubic,m-3m
mp-1185357,0.22115613,Cubic,m-3m
mp-1185358,0,Cubic,m-3m
mp-1185359,0,Hexagonal,6/mmm
mp-1185352,0.029048573,Hexagonal,6/mmm
mp-1185350,0.068196458,Hexagonal,6/mmm
mp-1185356,0.580089907,Cubic,m-3m
mp-1185353,0.810932111,Cubic,m-3m
mp-1185354,0,Cubic,m-3m
mp-1185360,0.018074675,Cubic,m-3m
mp-1185355,0.108365495,Cubic,m-3m
mp-1185361,0.012401699,Cubic,m-3m
mp-1185362,0.020167366,Cubic,m-3m
mp-1185363,0,Cubic,m-3m
mp-1185365,0,Cubic,m-3m
mp-1185364,0,Cubic,m-3m
mp-1185367,0,Cubic,m-3m
mp-1185366,0.013592844,Cubic,m-3m
mp-1185370,0.001951017,Cubic,m-3m
mp-1185368,0.002421661,Orthorhombic,mmm
mp-1185369,0,Cubic,m-3m
mp-1185371,0.060609358,Cubic,m-3m
mp-1185372,0.019263417,Cubic,m-3m
mp-1185374,0,Cubic,m-3m
mp-1185376,0,Cubic,m-3m
mp-1185378,0.012262151,Cubic,m-3m
mp-1185375,0.008701435,Cubic,m-3m
mp-1185373,0.032528675,Cubic,m-3m
mp-1185387,0.25988815,Cubic,m-3m
mp-1185384,0.186834758,Cubic,m-3m
mp-1185380,0.007704545,Cubic,m-3m
mp-1185381,0.002956615,Cubic,m-3m
mp-1185386,0.00810444,Cubic,m-3m
mp-1185377,0.010779779,Hexagonal,6/mmm
