Composition,Density
B5 Mo2,6.910597742884047
B5 W2,11.765117443529052
B6 Pb1,6.003819469509007
Ba1,2.364061517729881
Ba1 Ag1,5.466174327940019
Ba1 Ag1 As1,6.164474640473252
Ba1 Ag1 Bi1,7.242348579265253
Ba1 Ag1 O2,6.0410414255946
Ba1 Ag1 P1,5.7052838278433535
Ba1 Ag1 S1 F1,5.637314434554091
Ba1 Ag1 Sb1,6.104209274888849
Ba1 Ag1 Se1 F1,6.142612558392519
Ba1 Ag1 Te1 F1,6.298244067181046
Ba1 Ag2,6.332370916498132
Ba1 Ag2 Ge1 S4,4.70604412291684
Ba1 Ag2 Ge1 Se4,5.52152132974412
Ba1 Ag2 Ge2,6.967152760108303
Ba1 Ag2 S2,5.610697893916584
Ba1 Ag2 Sn1 S4,4.789230440868241
Ba1 Ag2 Sn1 Se4,5.555595827459082
Ba1 Ag2 Sn2,7.036637211603849
Ba1 Ag5,7.889923678275579
Ba1 Al1,3.667059047971118
Ba1 Al1 Co1 Cu1 O5,5.423099355990557
Ba1 Al1 Cr1 Cu1 O5,5.3831840741403765
Ba1 Al1 Cu1 Ag1 O5,5.570511677453126
Ba1 Al1 Cu1 Bi1 O5,6.5533301461109215
Ba1 Al1 Cu1 Mo1 O5,5.505091991966533
Ba1 Al1 Cu1 Ni1 O5,5.78394294035521
Ba1 Al1 Cu1 Sb1 O5,4.989938482850286
Ba1 Al1 Cu1 Sn1 O5,5.593986730427994
Ba1 Al1 Cu1 W1 O5,5.549771367064489
Ba1 Al1 Cu2 O5,5.785502505518243
Ba1 Al1 Cu3 Se4,4.670129309642913
Ba1 Al1 Fe1 Cu1 O5,5.325796829360474
Ba1 Al1 Ge1,4.545636711163821
Ba1 Al1 Ge1 F1,4.6641712282078345
Ba1 Al1 Ge1 H1,4.5252736413746
Ba1 Al1 O3,5.69066640911675
Ba1 Al1 Si1,3.806505581790664
Ba1 Al1 Si1 H1,3.7511077174063314
Ba1 Al1 Sn1,4.751913454208471
Ba1 Al1 V1 Cu1 O5,5.233225100667928
Ba1 Al2,4.079686509996566
Ba1 Al2 Ga2,4.741098749362965
Ba1 Al2 Ge2,4.638609225590395
Ba1 Al2 Si2,3.5802269751419886
Ba1 Al2 Te4,4.576343581371568
Ba1 Al4,3.425431948130945
Ba1 As1 Au1,7.95671176849071
Ba1 As1 Pd1,6.551416399237807
Ba1 As2 Pd1,6.75765291516659
Ba1 As2 Pd2,7.33179617765174
Ba1 As2 Pt1,8.313245194712078
Ba1 As2 Rh2,7.461447711427047
Ba1 As2 Ru2,7.39218322448805
Ba1 As3,5.245541683457792
Ba1 Au1,7.97596306770373
Ba1 Au1 Cl1,6.054702069561283
Ba1 Au1 O2,8.029159431668086
Ba1 Au1 O3,8.49724724234547
Ba1 Au2,9.969493577348317
Ba1 Au5,13.401524918642073
Ba1 B1 O3,6.059475020396386
Ba1 B2 Ir2,9.960610184072404
